gene	nlp	trait	rsid	explanation	explanation_source	gwas_source	annotation_source
NADK2	10.453704164878557	lysine	rs16902835	NADK2 encodes a mitochondrial NAD kinase, converting NAD to NADP, an essential cofactor for multiple mitochondrial enzymes including aminoadipate-semialdehyde synthase which catalyzes the first two steps in the degradation of lysine.  Mutations in NADK2 cause hyperlysinemia.	24847004	35347128	35347128
NAGS	9.52	N-acetylglutamate	rs860354	NAGS encodes N-acetylglutamate synthase which synthesizes the metabolite observed at this locus, N-acetylglutamate.	25771	36357675	36357675
NAT16	211.57	N-acetylhistidine	rs740104	NAT16 encodes a histidine acetytransferase which generates N-acetylhistidine, the metabolite observed here	24121108	36357675	36357675
NAT2	1112.67	5-acetylamino-6-formylamino-3-methyluracil	rs1801280	NAT2 encodes an N-acetyltransferase which can produce the observed metabolite, 5-acetylamino-6-formylamino-3-methyluracil (AFMU), as a downstream product of caffeine.  The nearby paralog, NAT1, has not been shown to have this activity.	10744128	36357675	36357675
NAT8	3376.13	N-delta-acetylornithine/N2,N5-diacetylornithine	rs13408433	NAT8 shows sequence similarity to N-acetyltransferases.  N-acetylcitrulline may be a product or related to a product.	18662894	36357675	36357675
NAXE	7.744	HDL Cholesterol	rs12145743	NAXE (formerly APOA1BP) encodes an APOA1 binding protein which promotes cholesterol efflux into high density lipoprotein (HDL) particles.	23719382	GLGC	30239796
NIT2	38.74112337062787	alpha-ketoglutaramate	rs3830303	NIT2 encodes an omega-amidase which converts the metabolite observed here, alpha-ketoglutaramate, to alpha ketoglutarate.	19595734	35347128	35347128
NPC1L1	20.716	LDL Cholesterol	rs2073547	NPC1L1 encodes a transporter for cholesterol in the intestine.	14976318	GLGC	30239796
NPL	54.74	N-acetylneuraminate	rs116448311	NPL encodes N-acetylneuraminate pyruvate lyase which  cleaves of N-acetylneuraminate to form pyruvate and N-acetylmannosamin.  The observed metabolite is a substrate of this enzyme.	11737202	36357675	36357675
NR1H3	37.481	HDL Cholesterol	rs3847502	NR1H3 encodes the LXR-alpha nuclear hormone receptor.  This transcription factor upreguates ABCA1, a cholesterol transporter with a direct impact on HDL levels.	11090131	GLGC	30239796
NR5A1	10.419189027339053	pregnenediol sulfate (C21H34O5S)	rs4838190	NR5A1 encodes the steroidogenic factor-1, a transcription factor that regulates many genes involved in steroidogenesis, including SULT2A1 which itself has an association with pregn steroid monosulfate, the metabolite associated with this locus.	22427816	35347128	35347128
NT5C	1083.95	orotidine/pseudouridine	rs78625720	NT5C encodes a 5', 3'-nucleotidase which dephosphorylates purine and pyrimidine nucleotides.  Orotidine is a purine nucleotide formed with the uracil derivative orotate as the base.	2157703	36357675	36357675
NT5C3A	64.02	orotate	rs4316067	NT5C3A encodes a pyrimidine 5'-nucleotidase which dephosphorylates of pyrimidine nucleoside monophosphates, including UMP.  Orotate, the metabolite observed here, is converted to UMP by UMP synthase.	15968458	36357675	36357675
NT5E	12.155	Metabolic traits (inosine + 1 other trait)	rs494562	NT5E encodes the ecto-5'-nucleotidase which can generate inosine	6271180	21886157	30239796
OAT	34.42817475095917	3-amino-2-piperidone	rs121965043	OAT encodes ornithine aminotransferase which converts ornithine to glutamate 5-semialdehyde. The metabolite observed here, 3-amino-2-piperidone, also known as cyclo-ornithine, is a closely related metabolite.	4990629	35347128	35347128
OPLAH	194.68	6-oxopiperidine-2-carboxylic acid/5-oxoproline	rs3935209	OPLAH encodes 5-oxoprolinase which catalyzes the ATP-dependent hydrolysis of 5-oxoproline to glutamic acid.  5-oxoproline is the second metabolite associated with this locus.  The strongest association is for 6-oxopiperidine-2-carboxylic acid which is structurally closely related.	9233839	36357675	36357675
ORMDL3	17.02	lactosyl-N-palmitoyl-sphingosine	rs11327630	ORMDL3 encodes a protein which regulates sphingolipid synthesis by interacting with serine palmitoyl transferase.	20182505	36357675	36357675
PAH	40.13	tyrosine/phenylalanine	rs5030861	PAH encodes the enzyme phenylalanine hydroxylase which is the rate-limiting step in phenylalanine catabolism.	4150152	36357675	36357675
PAOX	51.74352279375832	N-acetyl-isoputreanine	rs2265908	PAOX encodes an N1-acetylspermidine oxidase.  The metabolite observed here, acisoga, is a downstream metabolite of N1-acetylspermidine.	12660232|3558558	35347128	35347128
PARP14|PARP15|PARP9	14.15	nicotinamide	rs147939290	The PARP genes encode a family of enzymes that cleave NAD, producing ADP-ribose and nicotinamide, the observed metabolite.	28525742	36357675	36357675
PCCA	25.87	carnitine/propionylcarnitine	rs61749895	PCCA encodes one half of propionyl-CoA carboxylase which normally acts on propiony-CoA to produce methylmalonyl-CoA but can also act on butyryl-CoA to produce small amounts of ethylmalonyl-CoA.	13752080	36357675	36357675
PCK2	10.28	succinylcarnitine	rs79873985	PCK2 encodes the mitochondrial phosphoenolpyruvate carboxykinase which influences krebs cycle metabolites by converting oxaloacetate to phosphoenolpyruvate.  The observed metabolite, succinylcarnitine, is derived from succinyl-CoA, a key krebs cycle intermediate.	13938894	36357675	36357675
PCMT1	18.95703092660682	S-adenosylhomocysteine (SAH)	rs9505982	PCMT1 encodes a methyltransferase which produces S-adenosylhomocysteine. PCMT1 is important for reversing oxidative damage in neurons and erythrocytes. Pcmt1 knockout mice show reduced levels of S-adenosylhomocysteine	12023972|11279164	35347128	35347128
PCSK1	14.991	MAGIC Fasting Glucose GWAS/Metabochip 2012	rs4869272	PCSK1 encodes a protease which is involved in maturation of insulin	1843283	MAGIC	30239796
PCSK9	142.067	LDL Cholesterol	rs11591147	PCSK9 encodes a protein that binds to the LDLR receptor, promoting its degradation and thus influencing circulating LDL cholesterol levels.  Rare gain of function mutations result in greatly elevated LDL cholesterol levels.	12730697	GLGC	30239796
PDPR	10.678	Pyruvate	rs74249229	PDPR encodes a component of the pyruvate dehydrogenase complex (PDC) which converts pyruvate into acetyl-CoA.	9395502	27005778	30239796
PDX1	14.876	MAGIC Fasting Glucose GWAS/Metabochip 2012	rs11619319	PDX1 encodes a pancreas-specific transcription factor which induces expression of insulin and SLC2A2 (GLUT2)  which each influence glucose levels	7901001|8923459	MAGIC	30239796
PDZK1	29	Urate levels	rs1471633	PDZK1 encodes a protein that binds to and regulates the activity of URAT1 (encoded by SLC22A12), which is a urate transporter.	15304510	23263486	30239796
PEMT	22.76	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*/1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1)	rs897450	PEMT encodes phosphatidylethanolamine N-methyltransferase which methylates phosphatidylethanolamine molecules three times to produce phosphatidylcholine molecules	6497846	36357675	36357675
PHGDH	66.63	serine/asparagine	rs561931	PHGDH encodes a phosphoglycerate dehydrogenase which catalyses the first and rate-limiting step in serine biosynthesis.	16589713	36357675	36357675
PLA2G10	141.08	1-dihomo-linolenoyl-GPC (20:3n3 or 6)*/1-dihomo-linoleoyl-GPC (20:2)*	rs4985154	PLA2G10 encodes a phospholipase that converts phosphatidylethanolamines and phosphatidylcholines to the corresponding lysolipid	9188469	36357675	36357675
PLTP	54.585	S.HDL.P	rs6073958	PLTP encodes phospholipid transfer protein which acts directly on HDL particles.	8664337	27005778	30239796
PM20D2	23.012110390002256	N-acetylcarnosine	rs7775554	PM20D2 encodes a dipeptidase that eliminates non-carnosine products of carnosine synthase, this favoring the production of carnosine.	24891507	35347128	35347128
PNLIPRP2	34.92	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)/1-stearoyl-2-oleoyl-GPC (18:0/18:1)	rs4751995	PNLIPRP2 encodes the pancreatic lipase related protein 2 (PLRP2) which hydrolyzes many lipids including phosphotidylcholines which are similar to the metabolite observed here, 1-stearoyl-2-oleoyl-GPC.	17401110	36357675	36357675
PNP	17.980053318321158	N2-methylguanosine	rs1760930	PNP encodes purine nucleoside phosphatase which uses phosphate to separate a purine base from its sugar. The metabolite observed here, N2-methylguanosine, is a potential substrate and is closely related to known substrates. 	20285042	35347128	35347128
PNPLA7	18.41	1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*/1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*	rs4962237	PNPLA7 encodes a lysophosphatidylcholine hydrolase that can act on 1,2-dioleoyl glycerophosphocholine ((C18:1/C18:1 GPC), a molecule similar to the metabolite observed here.	28887301	36357675	36357675
PPARA	8.006	Total Cholesterol	rs4253772	PPARA encodes a transcription factor which regulates expression of HDL apolipoproteins	9808609	GLGC	30239796
PPARG	16.075	Total Cholesterol	rs7616006	PPARG encodes a transcription factor that upreguates ABCA1 among other proteins involved in lipid metabolism.	11135616	GLGC	30239796
PPM1K	42.28	2-aminobutyrate/3-methyl-2-oxobutyrate	rs10018448	PPM1K encodes a phosphatase called PP2Cm for the branched-chain keto acid dehydrogenase (BCKD) complex.  BCKD catalyzes an essential step in the catabolism of valine and the other branched chain amino acids.	19411760	36357675	36357675
PRODH	168.2	phenylalanine/proline	rs117935223	PRODH encodes proline dehydrogenase which catalyzes the first step in proline degradation	16874462	36357675	36357675
PRODH2	10.2	trans-4-hydroxyproline	rs3761097	PRODH2 encodes hydroxyproline dehydrogenase which converts the metabolite observed at this locus, trans-4-hydroxyproline, to L-1-pyrroline-3-hydroxy-5-carboxylate.	25697095	36357675	36357675
PSPH	37.2	serine/asparagine	rs4470984	PSPH encodes phosphoserine phosphatase which produces serine	16589713	36357675	36357675
PTRH1	109.84	N-acetylalanine/N-formylmethionine	rs550045	PTRH1 encodes a mitochondrial-directed peptidyl-tRNA hydrolase which releases tRNA from peptidyl-tRNA chains.  The observed metabolite, N-formylmethionine, is likely a consequence of the activity of this enzyme on mitochondrial proteins which are initiated with formyl-methionine.	4981785	36357675	36357675
PYCR3	70.37955161528829	S-1-pyrroline-5-carboxylate	rs2242090	PYCR3 encodes a pyrroline-5-carboxylate reductase which generates proline from the observed metabolite.	23024808	35347128	35347128
PYROXD2	2181.1045774539607	N6-methyllysine	rs2147896	One of the strongest and most reproducible signals in metabolite GWAS involves this locus and mono- or dimethyl derivatives of small molecules. The exact function of PYROXD2 remains a mystery.	24586186	35347128	35347128
QPCT	30.04803141550709	pyroglutamylglutamine	rs77684493	QPCT encodes a glutaminyl-peptide cyclotransferase which cyclizes an N-terminal glutamine residue. The metabolite observed here, pyroglutamylglutamine, is a likely product of this reaction.	3473473	35347128	35347128
RBP4	23.54	retinol (Vitamin A)	rs10882283	RBP4 encodes a retinol-binding protein that transports retinol in the blood.	2444024	36357675	36357675
SARDH	50.78	sarcosine (N-Methylglycine)	rs111389997	SARDH encodes sarcosine dehydrogenase converts sarcosine to glycine and formaldehyde.	13716069	36357675	36357675
SAT2	135.35	N6-acetyllysine	rs13894	SAT2 encodes an acetyltransferase which can act on thialysine and lysine.  Acetylation of lysine results in N6-acetyllysine, the metabolite observed at this locus.	15283699	36357675	36357675
SCARB1	32.135	HDL Cholesterol	rs838876	SCARB1 encodes a scavanger receptor which can act as an HDL receptor.	8560269	GLGC	30239796
SCD	120.22	1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*/1-(1-enyl-stearoyl)-2-oleoyl-GPC (P-18:0/18:1)	rs603424	SCD encodes a stearyl-CoA desaturase which acts on medium chain-length acyl-CoAs to bring about the delta 9 desaturation of various fatty acids, such as the conversion of myristate (14:0) to myristoleate (14:1n5).	8453	36357675	36357675
SCD5	44.361410916707285	lignoceroylcarnitine (C24)	rs141560958	SCD5 encodes stearoyl-CoA desaturase which catalyzes the formation of monounsaturated fatty acids from saturated fatty acids.  The metabolite observed here, the acylcarnitine of a long chain saturated fatty acid, is a potential substrate.	15907797	35347128	35347128
SEC14L2	32.1322968667299	gamma-tocopherol/beta-tocopherol	rs182488695	SEC14L2 encodes a tocopherol-binding protein	10829015	35347128	35347128
SELENBP1	19.523	Blood trace element (Cu levels)	rs2769264	SELENBP1 encodes a selenium-binding protein.  The Arabidopsis ortholog (61% identity) has been shown to bind copper.	25274629	23720494	30239796
SERPINA6	16.520568662802262	cortisol	rs6575415	SERPINA6 encodes a serpin family member which specifically binds and transports corticosteroids including the metabolite observed here, cortisol.	3299377	35347128	35347128
SERPINA7	105.50737927795682	thyroxine	rs1804495	SERPINA7 encodes the thyroxine-binding globulin protein.	3094014	35347128	35347128
SGPP1	472.35	palmitoyl dihydrosphingomyelin (d18:0/16:0)*/sphingomyelin (d18:1/14:0, d16:1/16:0)*	rs35372182	SGPP1 encodes a sphingosine-1-phosphate phosphatase which dephosphorylates sphingosine-1-phosphate to sphingosine which can then be incorporated into sphingomyelin.	10859351	36357675	36357675
SHBG	41	Testosterone levels (Testosterone)	rs12150660	SHBG encodes the sex-hormone binding globulin which binds which binds to and transports testosterone.	7626508	21998597	30239796
SI	15.27	1,5-anhydroglucitol (1,5-AG)	rs34431609	SI encodes sucrase-isomaltase, a disaccharidase which hydrolyzes sucrose enabling the constituent monosaccharides to be absorbed in the small intestines.  1,5-anhydroglucitol is short-term marker of plasma glucose levels because it competes with monosaccharides for reabsorption in the kidneys.	18088226	36357675	36357675
SLC10A2	60.94	glycochenodeoxycholate glucuronide (1)/glycodeoxycholate sulfate	rs55971546	SLC10A2 encodes a bile acid transporter.	7860756	36357675	36357675
SLC13A1	98.81022904365312	sulfate	rs138989506	SLC13A1 encodes a kidney-specific sodium/sulfate co-transporter.	7690140	35347128	35347128
SLC13A3	18.33	N-acetylaspartate (NAA)	rs439143	SLC13A3 encodes a kidney-selective dicarboxylate transporter which can take malate and glutarate (two of the metabolites observed at this locus) as substrates, as well as succinate, citrate and other Krebs cycle derived metabolites.	15561973	36357675	36357675
SLC13A5	17.319	Citrate	rs172642	SLC13A5 encodes NaCT, a sodium-coupled citrate transporter.	16973915	27005778	30239796
SLC14A2	17.155	Renal function-related traits (BUN)	rs7227483	SLC14A2 encodes a urea transporter expressed in kidney.	11502588	22797727	30239796
SLC16A10	36.15	tyrosine/phenylalanine	rs9647629	SLC16A10 encodes the T-type amino acid transporter 1 (TAT1); this transporter transports tryptophan, tyrosine and phenylalanine	11827462	36357675	36357675
SLC16A12	13.96	N-acetylarginine	rs7081788	SLC16A12 encodes solute carrier which can take creatine as a substrate.  N-acetylarginine is a closely related metabolite.	23578822	36357675	36357675
SLC16A3	52.9	tyrosine/3-(4-hydroxyphenyl)lactate	rs35121878	SLC16A3 encodes a monocarboxylate transporter known to act on lactate and pyruvate.  The observed metabolite could be a substrate or could be metabolically linked to a substrate., SLC16A3 encodes a monocarboxylate transporter known to act on lactate and pyruvate.  Malate and pyruvate are linked by the activity of malate dehydrogenase.	9425115	36357675	36357675
SLC16A9	234.06	carnitine	rs1171614	SLC16A9 encodes a carnitine efflux transporter.	21886157	36357675	36357675
SLC1A4	55.16	2-aminobutyrate	rs72538440	SLC1A4 encodes a neutral amino acid transporter with demonstrated activity for alanine, serine, cysteine and threonine.  2-aminobutyrate is structurally similar to these amino acids.	7896285	36357675	36357675
SLC22A1	212.28	isobutyrylcarnitine	rs662138	SLC22A1 encodes OCT1, an organic cation transporter with activity towards acylcarnitine.	28942964	36357675	36357675
SLC22A10|SLC22A24|SLC22A25|SLC22A9	379.41	etiocholanolone glucuronide	rs182462158	SLC22A24/SLC22A25/SLC22A10/SLC22A9 encode a family of solute carriers expressed in liver and kidney.  SLC22A9 is the best characterized of these and is known to transport sulfated steroids similar to some of the metabolites observed at this locus.	17393504	36357675	36357675
SLC22A11	22.08	4-androsten-3beta,17beta-diol monosulfate (2)	rs35008345	SLC22A11 encodes solute carrier family which can transport steroid sulfate metabolites similar to the metabolite observed here, 4-androsten-3beta,17beta-diol monosulfate.	18501590	36357675	36357675
SLC22A12	62.523	Renal function-related traits (urea)	rs504915	SLC22A12 encodes the URAT1 transporter, a kidney urate reuptake transporter.  The nearby gene SLC22A11 encodes the hOAT4 transporter which primarily transports steroid molecules and has only very weak affinity for urea.	12024214|27105641	22797727	30239796
SLC22A16	171.85	sphingosine 1-phosphate/linoleoylcarnitine*	rs72939920	SLC22A16 encodes transporter specific for carnitine	12089149	36357675	36357675
SLC22A4|SLC22A5	74.79	valine/isovalerylcarnitine	rs538021413	SLC22A5 encodes the OCTN2 protein, which is the primary transporter reponsible for carnitine homeostasis., SLC22A4 encodes an ergothioneine transporter	20648231, 15795384	36357675	36357675
SLC23A1	21.35	glycerate	rs33972313	SLC23A1 encodes an ascorbate-specific transporter principally expressed in the small intestines and kidney. Oxolate and threonate, two of the  metabolites observed here, can be derived from ascorbate.	10471399	36357675	36357675
SLC23A2	11.454692883534175	ascorbic acid 3-sulfate	rs141583725	SLC23A2 encodes one of two ascorbic acid (vitamin C) transporters. The observed metabolite is a sulfate derivative of ascorbic acid.	10556521	35347128	35347128
SLC23A3	84.09463593123311	glycerate	rs192756070	SLC23A3 encodes a transporter from the SLC23 ascorbic acid transporter family but with no detectable ascorbic acid transport activity.  Highly expressed in the kidney, likely as a reuptake transporter. Glycerate is a possible substrate.	23506882	35347128	35347128
SLC25A1	21.886	Citrate	rs2040771	SLC25A1 encodes the mitochondrial-localized tricarboxylate transporter of citrate.	2804096	27005778	30239796
SLC25A19	12.5	isobutyrylcarnitine	rs7222784	SLC25A19 encodes transporter which transports thiamine pyrophosphate into mitochondria.  Thiamine is a cofactor for the branched chain dehydrogenase complex which converts keto-valine to isobutyryl-CoA which is then converted to isobutyrylcarnitine, the metabolite observed at this locus.	17035501|4100151	36357675	36357675
SLC25A26	20.646468440922238	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)	rs13874	SLC25A26 encodes a transporter which transports S-adenosylmethionine (SAM) into the mitochondria. The metabolite observed here, 2,3-dihydroxy-5-methylthio-4-pentenoate, is derived from SAM.	14674884|29578721	35347128	35347128
SLC25A29	14.02	homoarginine	rs3783341	SLC25A29 encodes a transporter which transports homoarginine into mitochondria.	24652292	36357675	36357675
SLC25A45	79.72908836058951	N6,N6,N6-trimethyllysine	rs34400381	SLC25A45 encodes an orphan mitochondrial transporter closely related to lysine and carnitine transporters. The metabolite observed here, trimethyllysine, is derived from lysine and produces carnitine and is a possible substrate.	24652292|23266187	35347128	35347128
SLC27A2	13.398	Blood metabolite ratios (10-undecenoate (11:1n1)/X-11438)	rs1365505	SLC27A2 encodes a very-long-chain acyl-CoA synthetase which activates fatty acids by forming their coenzyme A derivatives.	10198260	24816252	30239796
SLC27A5	12.362810577851238	3b-hydroxy-5-cholenoic acid	rs147464959	SLC27A5 encodes a bile acid-CoA ligase which transfers CoA to various bile acids including cholic acid which is derived from 7-alpha-hydroxy-3-oxo-4-cholestenoate, the metabolite observed at this locus.	17401	35347128	35347128
SLC28A1	30.819587367161677	5,6-dihydrouridine	rs55990066	SLC28A1 encodes a pyrimidine-specific sodium-nucleoside cotransporter (hCNT1) which can transport uridine.  Dihydrouridine, the metabolite observed here, is a frequent modification of this base.	9124315	35347128	35347128
SLC2A2	17.068	MAGIC Fasting Glucose GWAS/Metabochip 2012	rs1280	SLC2A2 encodes a glucose transporter (GLUT2)	2479026	MAGIC	30239796
SLC2A9	700	Urate levels	rs12498742	SLC2A9 encodes a urate transporter.	18327257	23263486	30239796
SLC30A10	13.658	Manganese|plasma	rs1776029	SLC30A10 encodes a transporter with specificity for manganese.	25319704	26025379	30239796
SLC34A1	12.415668775632469	sulfate	rs34225933	SLC34A1 encodes a renal-specific phosphate transporter.  Rare mutations in SLC34A1 can lead to renal failure which could explain the impact on creatinine levels.	20335586	35347128	35347128
SLC36A1|SLC36A2	28.14	pyroglutamine*	rs77010315	SLC36A1 and SLC36A2 encode paralogous small amino acid transporters (PAT1 and PAT2) which can transport glycine, alanine, proline and hydroxyproline.  The observed metabolite, pyroglutamine, is structurally similar to proline and hydroxyproline and may itself be a substrate.  The nearby paralog SLC36A3 is expressed exclusively in testes.	12809675	36357675	36357675
SLC36A2	14.68	glycine/citrate|urine	rs3846710	SLC36A2 encodes the a proton-coupled amino acid transporter, which is specific for glycine and proline.	19033659	26352407	30239796
SLC38A1	11.97	glutamine	rs78855118	SLC38A1 encodes an amino acid transporter (ATA1) with a preference for glutamine.	10891391	36357675	36357675
SLC38A3	13.5	imidazole lactate	rs116570617	SLC38A3 encodes a sodium-coupled neutral amino acid (system N/A) transporter (SNAT8) with preference for histidine, alanine, glutamine and arginine.  The metabolite oberved here, imidazole lactate, is a metabolite of histidine.	25451601	36357675	36357675
SLC38A4	12.215	Alanine	rs4554975	SLC38A4 encodes a liver-enriched amino acid transporter (ATA3) with affinity for most cationic and neutral amino acids including alanine.	11342143|11118514	27005778	30239796
SLC47A1	11.33	N-acetylarginine	rs111653425	SLC47A1 encodes the multidrug and toxin extrusion protein 1 (MATE1) which can transport both arginine and asymmetric dimethylarginine, both of which are structurally and metabolically related to the observed metabolite, N-acetylarginine.	23864433	36357675	36357675
SLC51A	42.97	andro steroid monosulfate (1)*	rs5855544	SLC51A encodes the alpha subunit of the organic solute transporter (OSTalpha), an intestinal steroid and bile acid transporter which can transport dehydroepiandrosterone sulfate, a metabolite closely related to the observed metabolite, androsterone sulfate.	16317684	36357675	36357675
SLC52A1	24.631341287607775	acisoga	rs34556430	SLC52A1 encodes an intestine-specific riboflavin transporter, required for the production of FAD, a cofactor for polyamine oxidase which acts on multiple polyamine. Variants near the PAOX gene are also associated with polyamine levels.	18632736|12660232|3558558	35347128	35347128
SLC5A10	187.15	1,5-anhydroglucitol (1,5-AG)	rs61741107	SLC5A10 encodes a kidney-specific mannose transporter, SGLT5.  1,5-anhydroglucitol is short-term marker of plasma glucose levels because it competes with monosaccharides for reabsorption in the kidneys.	24573086	36357675	36357675
SLC5A11	65.034	myo-inositol|urine	rs17702912	SLC5A11 encodes a sodium/myo-inositol transporter (SMIT2) which can also transport scyllo-inostiol.	21887366	26352407	30239796
SLC5A6	17.09	pantothenate	rs34303460	SLC5A6 encodes a solute transporter with demonstrated activity for pantothenate.	9516450	36357675	36357675
SLC6A12	42.45	betaine	rs34265203	SLC6A12 encodes a betaine transporter.	8198549	36357675	36357675
SLC6A13	219.08	creatinine/deoxycarnitine	rs10774021	SLC6A13 encodes deoxycarnitine (also known as gamma-butyrobetaine) transporter.	19679820	36357675	36357675
SLC6A19	261.126	tyrosine|urine	rs11750211	SLC6A19 encodes a neutral amino acid transporter which can act on tyrosine.  The nearby paralog, SLC6A18, is specific for glycine.	15044460|15804236	26352407	30239796
SLC6A20	87.88	pyroglutamine*	rs17279437	SLC6A20 encodes a transporter for N-methylglycine, proline and other specific amino acids.	15632147	36357675	36357675
SLC7A11	26.06	hypotaurine	rs143229933	SLC7A11 encodes a cystine/glutamate transporter which exchanges cystine for glutamate.  Hypotaurine is a sulfur-containing metabolite derived from cysteine, as is cystine, the endogenous ligand for this transporter.	10206947	36357675	36357675
SLC7A2	23.99	glutamine/lysine	rs1858715	SLC7A2 encodes an arginine/lysine/ornithine solute carrier enriched in liver.	9174363	36357675	36357675
SLC7A5	80.66	kynurenine/N-acetylalanine	rs34380332	SLC7A5 encodes LAT1 which mediates tryptophan/kynurenine exchange.	17896864	36357675	36357675
SLC7A6	58.97	glutarylcarnitine (C5)	rs56266914	SLC7A6 encodes a dibasic amino acid transporter which can specifically exchange arginine for lysine.  Glutaryl-CoA is a degradation product of lysine, which is then converted to glutarylcarnitine for circulation.	10903140	36357675	36357675
SLC7A7	11.77	methionine sulfone	rs11568438	SLC7A7 encodes the y+LAT-1 dibasic amino acid transporter with demonstrated activity toward homoarginine, the metabolite with the second strongest association at this position.	1134847	36357675	36357675
SLC7A9	40.03	homocitrulline	rs7247977	SLC7A9 encodes the b(0,+)-type amino acid transporter which transports cystine, arginine, lysine and ornithine.  Homocitrulline is derived from lysine., SLC7A9 encodes the b(0,+)-type amino acid transporter which transports cystine, arginine, lysine and ornithine.  Methionine can be derived from cysteine as is cystine.	10588648	36357675	36357675
SLCO1A2|SLCO1B1|SLCO1B3	742.62	thyroxine/glycochenodeoxycholate glucuronide (1)	rs4149056	SLCO1A2/SLCO1B1/SLCO1B3 encode a family of bile acid and bilirubin transporters.		36357675	36357675
SOAT1	19.57	pregn steroid monosulfate*	rs2492778	SOAT1 encodes sterol O-acyltransferase 1 which can acylate pregnenolone in the presence of cholesterol.	22474282	36357675	36357675
SORD	69.047885915093	ribitol	rs55901542	SORD encodes sorbitol dehydrogenase which oxidizes multiple polyols including the metabolite observed here, ribitol.	3365415	35347128	35347128
SORT1	271.788	LDL Cholesterol	rs646776	SORT1 encodes sortilin, a receptor with a role in VLDL secretion from the liver	20686566	GLGC	30239796
SPHK2	13.304168227173308	sphingomyelin (d18:1/20:1, d18:2/20:0)	rs61751862	SPHK2 encodes a sphingosine kinase which produces sphingosine-1-P which can be incorporated into the observed metabolites. S1P also represents the initial step in sphingomyelin catabolism.	10802064	35347128	35347128
SPTLC3	71.29791427856418	sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)	rs4814175	SPTLC3 encodes a subunit of serine palmitoyltransferase, which catalyzes the first step in de novo sphingolipid biosynthesis.	17023427	35347128	35347128
SRD5A2	44.47	etiocholanolone glucuronide	rs112881196	SRD5A2 encodes the type II steroid 5 alpha-reductase enzyme best known for converting testosterone to dihydrotestosterone.  The metabolites represented by the ratio detected here are also steroid molecules differing in reduction at carbon 5.  The enzyme has known activity against corticosterone.	7734398	36357675	36357675
ST3GAL5	10.440332721611941	lactosyl-N-behenoyl-sphingosine (d18:1/22:0)	rs7603766	ST3GAL5 encodes lactosylceramide alpha-2,3-sialyltransferase which transfers a sialic acid moeity to the observed metabolite, lactosyl-n-behenoyl-sphingosine, to produce the ganglioside GM3.	1999428	35347128	35347128
ST6GALNAC1|ST6GALNAC2	13.12	N-acetylneuraminate	rs2109101	ST6GALNAC1/ST6GALNAC2 encode a pair of alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferases which transfer N-acetylneuraminate, the metabolite observed here, onto glycan chains on proteins.	9184827	36357675	36357675
STARD3	19.264	HDL Cholesterol	rs113612868	STARD3 encodes the StAR-related lipid transfer protein 3 which promotes export of cholesterol to HDL	25014273	GLGC	30239796
STS	43.22709180502873	androstenediol (3beta,17beta) monosulfate (2)	rs10458	STS encodes a steroid sulfatase; substrates are sulfated steroids	9252398	35347128	35347128
SUCLA2	7.343	4-methyl-2-oxopentanoate - M22116	rs4941615	SUCLA2 encodes a subunit of succinyl-CoA synthetase a key enzyme in the Krebs cycle.  SUCLA2 deficiency results in elevated urinary excretion of leucine degradation products downstream of the analyte detected here (specifically 3-hydroxyisovaleric acid and 3-methylglutaconic acid).	19666145	Twins UK/Kora	30239796
SUCLG2	36.71	succinylcarnitine	rs17806888	SUCLG2 encodes the beta subunit of succinate-CoA ligase which acts on succinate-CoA.  Acyl-CoAs and acyl-carnitines are readily interconverted.	18392745	36357675	36357675
SULT1A1|SULT1A2|SULT1A3|SULT1A4	52.21731243176503	ascorbic acid 2-sulfate	rs10445105	SULT1A1|SULT1A2|SULT1A3|SULT1A4 encode a set of sulfotransferase enzymes that can create sulfated derivates of a variety of metabolites.	10441143|8093002	35347128	35347128
SULT2A1	426.31	pregnen-diol disulfate*	rs62129966	SULT2A1 encodes a bile salt sulfotransferase which can catalyze the sulfation of steroids and bile acids.	8575776	36357675	36357675
TAT	23.74	tyrosine/phenylalanine	rs201119394	TAT encodes tyrosine aminotransferase which converts tyrosine to 4-hydroxyphenylpyruvate.  Enzyme deficiency in this enzyme causes tyrosine accumulation.	1973834	36357675	36357675
TDO2	18.5	tryptophan	rs77969526	TDO2 encodes tryptophan 2,3-dioxygenase which acts on tryptophan.	8666386	36357675	36357675
TF	19.177	Iron|serum	rs8177240	TF encodes transferrin, a key transporter for iron.	1809186	25352340	30239796
TFR2	18	Iron status biomarkers (iron levels)	rs7385804	TFR2 encodes a receptor for transferrin which binds iron	10409623	25352340	30239796
